PONTO,ENSAIO,VIA,VARIAVEL,Latitude,Longitude
2,FWD,CE-060,135.7,-4.00359025,-38.621213222222224
2,FWD,CE-060,135.7,-4.003765694444445,-38.62125711111111
2,FWD,CE-060,135.7,-4.003941138888889,-38.621301027777776
2,FWD,CE-060,135.7,-4.004116583333333,-38.621344916666665
2,FWD,CE-060,135.7,-4.004292027777778,-38.621388805555554
2,FWD,CE-060,135.7,-4.0044675,-38.621432694444444
2,FWD,CE-060,135.7,-4.004642944444444,-38.62147658333333
2,FWD,CE-060,135.7,-4.004818388888889,-38.62152047222222
2,FWD,CE-060,135.7,-4.0049930555555555,-38.621566972222226
2,FWD,CE-060,135.7,-4.005164111111111,-38.62162563888889
2,FWD,CE-060,135.7,-4.005335166666667,-38.62168427777778
2,FWD,CE-060,135.7,-4.005506194444444,-38.62174294444444
2,FWD,CE-060,135.7,-4.00567725,-38.62180161111111
2,FWD,CE-060,135.7,-4.005848277777778,-38.62186027777778
2,FWD,CE-060,135.7,-4.006019333333334,-38.621918944444445
2,FWD,CE-060,135.7,-4.006190361111111,-38.62197758333333
2,FWD,CE-060,135.7,-4.006361416666667,-38.62203625
2,FWD,CE-060,135.7,-4.006532444444445,-38.62209491666667
3,FWD,CE-060,54.2,-4.0067035,-38.622153583333336
3,FWD,CE-060,54.2,-4.006874527777778,-38.622212250000004
3,FWD,CE-060,54.2,-4.007045583333333,-38.62227088888889
3,FWD,CE-060,54.2,-4.007216611111111,-38.62232955555556
3,FWD,CE-060,54.2,-4.007387666666666,-38.62238822222222
3,FWD,CE-060,54.2,-4.007558694444445,-38.62244688888889
3,FWD,CE-060,54.2,-4.00772975,-38.622505555555556
3,FWD,CE-060,54.2,-4.007900805555556,-38.62256419444444
3,FWD,CE-060,54.2,-4.008071833333333,-38.62262286111111
3,FWD,CE-060,54.2,-4.008242888888889,-38.62268152777778
3,FWD,CE-060,54.2,-4.008413916666667,-38.62274019444445
3,FWD,CE-060,54.2,-4.008584972222223,-38.622798861111114
3,FWD,CE-060,54.2,-4.008756,-38.6228575
3,FWD,CE-060,54.2,-4.008927055555556,-38.62291616666667
